,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
143,CENTRAL,MARSABIT,dishwashing paste,USHINDI,46.2,0.001286233,0.00063418,64.84676405,0.020863439,1.352926526,0.04,1.3523853553896001
144,CENTRAL,MARSABIT,glycerine,SAWA,95.899625,0.000758072,0.000628604,50.01920131,0.078129493,3.907974849,0.04,3.9064116590604
145,CENTRAL,MARSABIT,lotion,BELLEZA,207.1766667,0.061508348,0.026040037,50.01920131,0.116752984,5.839890988,0.04,5.8375550316048
146,CENTRAL,MARSABIT,lotion,FRESCO,72.71104167,0.031774397,0.013062773,50.01920131,0.054480233,2.72505775,0.04,2.7239677269
147,CENTRAL,MARSABIT,margarine,ONJA,18.0,0.003866762,0.004074242,95.89977833,0.014749263,1.414451008,0.04,1.4138852275968
148,CENTRAL,MARSABIT,milking jelly,SAWA,95.0045,0.000750991,0.000622737,68.53715579,0.023064511,1.58077601,0.04,1.5801436995959999
149,CENTRAL,MARSABIT,oil,FRESH FRI,2820.549167,0.015971099,0.010232284,44.40835361,0.045776273,2.032848903,0.04,2.0320357634388
150,CENTRAL,MARSABIT,oil,SALIT,4307.239333,0.017826519,0.003818513,33.57641678,0.017826519,0.598550616,0.04,0.5983111957536
151,CENTRAL,MARSABIT,toilet soap,SAWA,2275.153,0.017996191,0.014913209,43.84369783,0.064282111,2.818365435,0.04,2.817238088826
152,CENTRAL,MERU,bar soap,NDUME,431341.535,1.0,0.584910893,10.97780161,1.0,10.97780161,15.17,9.312469105763
153,CENTRAL,MERU,bar soap,POPCO,102.0,0.000721737,0.00057785,46.92278541,0.021086224,0.989424344,15.17,0.8393286710152
154,CENTRAL,MERU,bar soap,USHINDI,12420.275,0.345787101,0.17049113,58.4682421,1.0,58.4682421,15.17,49.59860977343
155,CENTRAL,MERU,bar soap,WHITEWASH,18411.975,0.081578641,0.156714972,42.318709,0.666005823,28.18450661,15.17,23.908916957263003
156,CENTRAL,MERU,bathing soap,4U,2248.25,0.044575053,0.179225542,53.20323492,0.586669283,31.21270369,15.17,26.477736540227003
157,CENTRAL,MERU,bathing soap,AFRISENSE,183.13,0.100836325,0.347552962,63.6623003,1.0,63.6623003,15.17,54.00472934449
158,CENTRAL,MERU,bathing soap,DETREX,11393.35944,0.173134422,0.382566626,66.28906039,1.0,66.28906039,15.17,56.233009928837006
159,CENTRAL,MERU,bathing soap,DIVA,126.0,0.080014438,0.211063084,52.46461961,1.0,52.46461961,15.17,44.505736815163004
160,CENTRAL,MERU,bathing soap,SAWA,3460.82,0.027374939,0.022685039,43.84369783,1.0,43.84369783,15.17,37.19260886918901
161,CENTRAL,MERU,bodywash,SAWA,37.28,0.000294384,0.000244364,50.01920131,0.415814343,20.79870134,15.17,17.643538346722003
162,CENTRAL,MERU,detergent,RAINBOW,127.26,0.06761028,0.669859985,64.84676405,1.0,64.84676405,15.17,55.00950994361501
163,CENTRAL,MERU,detergent,USHINDI,0.0,0.0,0.0,64.84676405,,,15.17,
164,CENTRAL,MERU,dishwashing liquid,USHINDI,3458.078417,0.096274753,0.04746849,64.84676405,1.0,64.84676405,15.17,55.00950994361501
165,CENTRAL,MERU,dishwashing paste,USHINDI,2214.4,0.061650081,0.030396715,64.84676405,1.0,64.84676405,15.17,55.00950994361501
